Title,factory_name,date_reported,num_affected,buyers,response_action,allegation_summary,issue_groups,Response Link,source_link,factory_lower
#655 - Myanmar Journey Bags,Myanmar Journey Bags,2024-10-24,300.0,Solo (Buyer),Myanmar Journey Bags allegedly supplies to Solo; Solo did not provide a response to a request for comment from the Resource Centre.,"In October 2024, it was reported that workers at Myanmar Journey Bags are facing a series of violations, including workers forced to work overtime for more than 20 hours incl. during the flooding season, if workers don’t work overtime for a long period they are suspended from normal work hours, workers forced to come in 10 minutes earlier than scheduled working hours, male supervisor being abusive and threatening towards women workers, workers watched while going to the restroom and receiving a warning, veteran workers dismissed, day labourers hired to do the same tasks as the permanent staff and dismissed, workers who resign denied their owed wages if they don’t give a resignation letter one month in advance, workers not permitted to bring phones into the factory, workers not allowed to talk to each other and forced to pay a fine if they are caught, and workers refused permission to go home when their homes were flooded and had to continue working.","Denial of permanent contracts,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Surveillance,Unfair dismissal,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-bag-factory-workers-allege-excessive-overtime-in-hazardous-conditions-gender-based-abuse-abusive-hiring-practices/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-at-bag-factory-allege-excessive-and-forced-overtime-and-verbal-and-physical-harassment-and-abuse/?utm_source=mosaic&utm_medium=api,myanmar journey bags
#654 - Eternal Fashion,Eternal Fashion,2024-10-23,10000.0,"Intersport (Buyer),TOREAD (Buyer),Zhejiang Semir Garment (Buyer)","Eternal Fashion allegedly supplies to Intersport, Semir Garment and Toread to respond; None of the brands provided a response to a request for comment from the Resource Centre.","In October 2024, it was reported that workers at Eternal Fashion are facing a series of violations, including factory transportation carrying more people than it has capacity to, causing safety risks, workers having diarrhoea from drinking unclean water, and verbal abuse, discrimination and pressure if workers refuse overtime. Despite workers complaining to relevant labour departments and inspections taking place, no action has been taken.","Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-face-safety-risks-due-to-factory-transportation-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-labour-rights-violations-incl-mandatory-overtime-reported-but-no-action-taken/?utm_source=mosaic&utm_medium=api,eternal fashion
#653 - TV,TV,2024-10-22,,"Clique (part of New Wave Group) (Buyer),New Wave Group (Buyer)",TV allegedly supplies to New Wave Group (for Clique); New Wave Group provided a response to a request for comment from the Resource Centre. xxx did not.,"In October 2024, it was reported that workers at TV Garment Factory are facing a series of violations, including factory management refusing workers permission to go home despite flooding in the factory and the risk of electric shock. HR reportedly told workers if they go home their wages would be cut. Workers also reported that daily wages are not fixed, with non-payment of wages if workers take a day of leave and the non-payment of owed subsidies.","Denial of leave,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-workers-denied-permission-to-return-home-following-flood-despite-health-risks-incl-co-response/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-prevented-from-returning-home-from-factory-following-flood/?utm_source=mosaic&utm_medium=api,tv
#652 - KBL Garment,KBL Garment,2024-10-19,900.0,David's Bridal (Buyer),KBL Garment allegedly supplies to David's Bridal; David's Bridal did not provide a response to a request for comment from the Resource Centre.,"In October 2024, it was reported that workers at KBL Garment are facing a series of violations, including workers sleeping in the factory after overnight shifts and experiencing subsequent health problems due to mosquito bites and lack of sleep, no accommodation for workers who sleep in the factory and must sleep on the benches, workers denied social security benefits incl. health treatment, workers receiving their wages on payday after they have been told to leave the factory, causing difficulties with workers, and the Workplace Coordination Committee not helping to resolve workers' concerns.","Attacks on freedom of association,Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-facing-health-issues-due-to-sleeping-overnight-at-the-factory-for-overtime-shifts/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-forced-to-work-overtime-until-11pm-at-garment-factory/?utm_source=mosaic&utm_medium=api,kbl garment
#651 - Lita Myanmar,Lita Myanmar,2024-10-18,,"Burtle (Buyer),Converse (part of Nike) (Reported buyer),Karsee (Buyer),Nike (Reported buyer),Toyo (Buyer),United Arrows (Buyer)","Lita Myanmar allegedly supplies to or has supplied to Burtle, Toyo, Karsee, United Arrows and Nike (for Converse); Burtle, Toyo, Karsee and United Arrows did not provide a response to a request for comment from the Resource Centre. Nike has previously informed the Resource Centre that it does not source from the factory.","In October 2024, it was reported that workers at Lita Myanmar are facing a series of violations, including workers being searched in the evenings, transport delays resulting in workers returning home late, underage workers forced to work without a doctor's certificate and state they are in good health, underage workers expected to work at the same level as adult workers, and denial of social security cards so workers are denied social security benefits.","Child labour,Reduced wages and wage theft,Surveillance,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-at-lita-factory-report-series-of-labour-violations-incl-invasion-of-privacy-child-labour-denial-of-social-security/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-factory-workers-report-forced-overtime-unpaid-wages-and-exploitation-by-managers/?utm_source=mosaic&utm_medium=api,lita myanmar
#650 - Straightex,Straightex,2024-10-18,800.0,,,"In October 2024, it was reported that workers at Straightex are facing a series of violations, including arbitrary dismissals without compensation incl. a worker who was fired because she was pregnant and humiliated in front of the workers in the factory, workers forced to work overtime or they are threatened with dismissal, no breaks and workers forced to work without a day off, workers facing verbal abuse if they don't work overtime because of health issues, and the employers collecting money from workers against their will.","Denial of leave,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Unfair dismissal",,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-arbitrarily-dismissed-without-compensation/?utm_source=mosaic&utm_medium=api,straightex
#649 - Prettex Myanmar,Prettex Myanmar,2024-10-15,1000.0,,,"In October 2024, it was reported that workers at Prettex Myanmar were forced to work overtime during the Thadingyut holiday, despite workers having made plans to return home. Workers reported losing money because they had to cancel transport they paid for in advance to return home.","Denial of leave,Inhumane work rates and mandatory overtime",,https://www.business-humanrights.org/en/latest-news/myanmar-workers-forced-to-work-on-public-holiday/?utm_source=mosaic&utm_medium=api,prettex myanmar
#648 - General Textile,General Textile,2024-10-13,700.0,Hennes & Mauritz (H&M) (Buyer),General Textile allegedly supplies to H&M; H&M provided a response to a request for comment from the Resource Centre.,"In October 2024, it was reported that workers at General Textile Garment were forced to work overtime overnight continuously after the factory closed for five days for the Thadingyut holiday, causing health problems. Workers working overnight had to sleep on the floor and benches, as the factory turned off the fans and electric lights, and were subsequently bitten by mosquitos and insects. In addition, when the Ministry of Labour called on factories to increase workers’ allowances by 1,000 kyats started 1 August, the factory did not start until September.","Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-facing-health-issues-after-all-night-overtime-shifts-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-forced-to-sleep-overnight-at-the-factory-for-late-shifts/?utm_source=mosaic&utm_medium=api,general textile
#647 - Mengyue Garment,Mengyue Garment,2024-10-12,1.0,Paltex (Buyer),Mengyue Garment allegedly supplies to Palltex; Palltex did not provide a response to a request for comment from the Resource Centre.,"In October 2024, it was reported that a worker at Mengyue Garment was moved to a new department where they lost a finger in an injury. The employer did not take responsibility for the incident.",Unsafe working conditions,https://www.business-humanrights.org/en/latest-news/myanmar-workers-report-injuries-at-factory-incl-working-losing-finger-incl-co-non-response/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-harassed-and-abused-given-excessive-production-targets-provided-with-inadequate-drinking-water-supply-and-exposed-to-unsafe-working-conditions/?utm_source=mosaic&utm_medium=api,mengyue garment
#646 - Mengyue Garment,Mengyue Garment,2024-10-12,100.0,Paltex (Buyer),Mengyue Garment allegedly supplies to Palltex; Palltex did not provide a response to a request for comment from the Resource Centre.,"In October 2024, it was reported that workers at Mengyue Garment are facing a series of violations, including mandatory overtime on Sundays for free if they don’t meet targets, limited drinking water in the workplace, underage workers forced to work at the same level as their adult counterparts and denied leave, and workers getting injured while working.","Child labour,Denial of leave,Inhumane work rates and mandatory overtime,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-workers-report-injuries-at-factory-incl-working-losing-finger-incl-co-non-response/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-harassed-and-abused-given-excessive-production-targets-provided-with-inadequate-drinking-water-supply-and-exposed-to-unsafe-working-conditions/?utm_source=mosaic&utm_medium=api,mengyue garment
#645 - Textile Palace 2,Textile Palace 2,2024-10-11,700.0,"LPP Spółka Akcyjna (Buyer),Sinsay (part of LPP S.A.) (Buyer),TROLLKIDS (Buyer)",Textile Palace 2 allegedly supplies to LPP (for Sinsay) and TROLLKIDS; LPP provided a response to a request for comment from the Resource Centre. TROLLKIDS did not.,"In October 2024, it was reported that workers at Textile Palace 2 are facing a series of violations, including workers receiving their seniority bonus after three years instead of annually, violating the law, and the factory not signing workers’ employment contracts.",Reduced wages and wage theft,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-denied-seniority-pay-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-factory-issues-seniority-pay-after-three-years-instead-of-one/?utm_source=mosaic&utm_medium=api,textile palace 2
#644 - Myanmar Lucky Fortune Garment,Myanmar Lucky Fortune Garment,2024-10-11,900.0,"Auchan (Former buyer),Bestseller (Reported buyer),Encuentro (Buyer),InExtenso (part of Auchan) (Former buyer),Inditex (Former buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Reported buyer),Pull & Bear (part of Inditex) (Former buyer),Sinsay (part of LPP S.A.) (Buyer),Stradivarius (part of Inditex) (Former buyer),Workman (Buyer),Zara (part of Inditex) (Former buyer)","Myanmar Lucky Fortune Garment allegedly supplies to or has supplied to, Auchan (for Inextenso), LC Waikiki, LPP (for Sinsay), Workman, Encuentro, Inditex (for ZARA, Pull&Bear and Stradivarius) and BESTELLER (for ONLY); Auchan, LPP and Workman provided a response to a request for comment from the Resource Centre. LC Waikiki and Encuentro did not. Auchan stated it had ceased operations with the factory, and its last orders were in October 2024. LPP stated the alleged abuses were at a Lucky Fortune unit that it does not cooperate with. Inditex has previously stated it no longer sources from the factory and has left Myanmar. BESTSELLER has previously stated it does not source from the factory.","In October 2024, it was reported that workers at Lucky Fortune Garment are facing a series of violations, including wage cuts for the upcoming Thadingyut period, only those who are close to the supervisors are granted leave, workers forced to pay for medical treatment if they have an injury, and workers not informed of what happened to the money they donated to the factory after a flood.","Denial of leave,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-migrants-face-wage-cuts-for-upcoming-thadingyut-period-at-lucky-fortune-garment-among-other-abuses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-allege-range-of-abuses-at-lucky-fortune-garment/?utm_source=mosaic&utm_medium=api,myanmar lucky fortune garment
#643 - Star Sandar Garment,Star Sandar Garment,2024-10-11,800.0,,,"In October 2024, it was reported that workers at Star Sandar are facing a series of violations, including denial of legal benefits incl. medical and casual leave, wage cuts if workers take leave, unhygienic toilets and unclean drinking water, certain day labourers approved as permanent workers and not others, excessive production targets and verbal abuse if workers can't meet the target.","Denial of leave,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Unsafe working conditions",,https://www.business-humanrights.org/en/latest-news/myanmar-workers-face-wage-cuts-if-they-take-leave-excessive-production-targets-at-factory/?utm_source=mosaic&utm_medium=api,star sandar garment
#642 - Kingsrich (Myanmar) Fashion,Kingsrich (Myanmar) Fashion,2024-10-10,1300.0,"Hennes & Mauritz (H&M) (Buyer),Marks & Spencer (Former buyer)",Kingsrich allegedly supplies to or has previously supplied to H&M and Marks & Spencer; H&M provided a response to a request for comment from the Resource Centre. Marks & Spencer has previously informed the Resource Centre it ceased all operations in Myanmar in April 2023.,"In October 2024, it was reported that workers at the Kingsrich Myanmar factory went on strike demanding a wage increase, but the factory refused. Supervisors reportedly threatened workers who had not worked more than three months at the factory, and forced them to work, saying they would put their picture up at other factories and make it harder for them to apply or jobs elsewhere.","Harassment intimidation and abuse,Reduced wages and wage theft",https://www.business-humanrights.org/en/latest-news/myanmar-workers-threatened-with-blacklisting-for-protesting-for-wage-increase-incl-co-response/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-over-1000-garment-workers-protest-demanding-wage-increase/?utm_source=mosaic&utm_medium=api,kingsrich (myanmar) fashion
#641 - Tianjin Fashion Milestone,Tianjin Fashion Milestone,2024-10-10,1.0,"Bestseller (Buyer),Inditex (Reported buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Buyer),Primark (part of Associated British Foods) (Former buyer),Sinsay (part of LPP S.A.) (Buyer),Vero Moda (part of Bestseller) (Buyer),Zara (part of Inditex) (Reported buyer)","Tianjin Fashion Milestone allegedly supplies to LC Waikiki, LPP (for Sinsay), BESTSELLER (for Vero Moda and ONLY). ; LPP and BESTSELLER provided a response to a request for comment from the Resource Centre. LC Waikiki did not. Primark had previously said its final handover as a result of its responsible exit took place in June 2023, and Inditex had previously stated it did not source from the factory.","In October 2024, it was reported that a woman worker at Tianjin Fashion Milestone who miscarried was denied a welfare card, and as a result was denied the leave and benefits she is owed according to the law.","Denial of leave,Gender-based violence and harassment,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-worker-who-suffered-miscarriage-denied-leave-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-worker-who-miscarried-denied-owed-leave/?utm_source=mosaic&utm_medium=api,tianjin fashion milestone
#640 - Tianjin Fashion Milestone,Tianjin Fashion Milestone,2024-10-10,,"Bestseller (Buyer),Inditex (Reported buyer),LC Waikiki (Buyer),LPP Spółka Akcyjna (Buyer),ONLY (part of Bestseller) (Buyer),Primark (part of Associated British Foods) (Former buyer),Sinsay (part of LPP S.A.) (Buyer),Vero Moda (part of Bestseller) (Buyer),Zara (part of Inditex) (Reported buyer)","Tianjin Fashion Milestone allegedly supplies to LC Waikiki, LPP (for Sinsay), BESTSELLER (for Vero Moda and ONLY). ; LPP and BESTSELLER provided a response to a request for comment from the Resource Centre. LC Waikiki did not. Primark had previously said its final handover as a result of its responsible exit took place in June 2023, and Inditex had previously stated it did not source from the factory.","In October 2024, it was reported that workers at Tianjin Fashion Milestone are facing a series of violations, including the factory denying workers (including pregnant women) access to social security clinics because the factory does not issue social security cards, resulting in workers paying for treatment at external clinics. Pregnant workers are also forced to stand up on the transport provided to workers.","Gender-based violence and harassment,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-worker-who-suffered-miscarriage-denied-leave-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-worker-who-miscarried-denied-owed-leave/?utm_source=mosaic&utm_medium=api,tianjin fashion milestone
#639 - Myanmar York,Myanmar York,2024-10-06,1600.0,"Bestseller (Buyer),Hennes & Mauritz (H&M) (Buyer),Inditex (Reported buyer),WE Fashion (Buyer),Zara (part of Inditex) (Reported buyer)","Myanamr York allegedly supplies to H&M, BESTSELLER, WE Europe and Inditex (for ZARA); H&M, BESTSELLER and WE Europe provided a response to a request for comment from the Resource Centre. Inditex has previously informed the Resource Centre that it does not source from the factory.","In October 2024, it was reported that workers at Myanmar York demand a wage hike in response to the price of goods, and reported that other factories paid higher wages, but the factory officials refused. The workers reported that those workers that are close to the supervisors are given a raise and paid leave. Workers who are not close to the supervisors don’t get a pay rise, they are made to take unpaid leave, and also lose their seniority pay.","Denial of leave,Reduced wages and wage theft",https://www.business-humanrights.org/en/latest-news/myanmar-factory-refuses-workers-demand-for-wage-hike-in-response-to-price-of-goods-workers-also-allege-pay-discrimination/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-at-myanmar-york-garment-factory-allege-pay-discrimination-and-inadequate-wages-and-benefits/?utm_source=mosaic&utm_medium=api,myanmar york
#638 - Sunrise Myanmar,Sunrise Myanmar,2024-10-04,800.0,"Adastria (Former buyer),Hennes & Mauritz (H&M) (Reported buyer),Honeys Holdings (Buyer),OVS SpA (Reported buyer),Shimamura (Buyer),Topvalu Collection (part of AEON) (Reported buyer),United Athle (Former buyer)","Sunrise Myanmar allegedly supplies to Honey's and Shimamura; Neither brand provided a response to a request for comment from the Resource Centre. Adastria and United Athle have previously stated they no longer source from the factory. AEON, H&M and OVS SpA have stated they do not source from the factory.","In October 2024, it was reported that workers at Sunrise Myanmar are facing a series of violations, including 60 day labourers hired at the factory who are being denied permanent contracts, and as a result face low wages, unpaid overtime, and denial of benefits that permanent employees receive.","Denial of permanent contracts,Reduced wages and wage theft",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-hired-as-day-labourers-denied-benefits-of-permanent-employees-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-hired-as-day-labourers-at-sunrise-myanmar-demand-permanent-employment-status/?utm_source=mosaic&utm_medium=api,sunrise myanmar
